Carat,Color,Clarity,Cut,Our Prices,Blue Nile Prices
1.07,D,SI2,Ideal,[],"['4666', '5479']"
,,,,,
1,F,SI1,Ideal,[],"['4683', '4730', '4866', '4898', '5261', '4989', '5306', '5060', '5079', '5091', '5179', '5224', '5244', '5250', '5251', '5274', '5285', '5310', '5333', '5374', '5645', '5375', '5396', '5419', '5452', '5461', '5482', '5505', '5522', '5525', '5527', '5570', '6037', '5585', '5895', '5589', '5607', '5635', '5645', '5645', '5678', '5692', '5721', '5757', '5765', '6068', '5784', '5795', '5801', '5808', '5808', '5830', '5853', '5866', '5892', '5895', '5906', '5925', '5929', '5938', '5981', '5981', '5981', '5981', '5987', '5995', '6328', '6012', '6033', '6037', '6379', '6073', '6096', '6096', '6111', '6182', '6198']"
,,,,,
1,E,SI1,Ideal,[],"['4688', '4693', '4869', '4871', '4920', '5022', '5124', '5175', '5191', '5242', '5686', '5288', '5301', '5301', '5371', '5371', '5401', '5411', '5415', '5446', '5469', '5469', '5480', '5481', '5496', '5505', '5505', '5521', '5535', '5816', '5555', '5571', '5575', '5596', '5597', '5606', '5691', '5748', '5749', '6394', '5776', '5837', '5844', '6182', '5866', '5889', '6189', '5889', '5926', '5940', '5981', '6031', '6047', '6340', '6047', '6064', '6137', '6137']"
,,,,,
1.07,E,SI2,Ideal,[],"['4694', '4942', '5425']"
,,,,,
1.04,G,SI2,Very Good,[],['4727']
,,,,,
1.08,D,SI2,Ideal,[],['4800']
,,,,,
1.08,E,SI2,Ideal,[],"['4806', '4971', '5262']"
,,,,,
1,D,SI1,Ideal,[],"['4819', '4881', '4963', '4976', '4988', '5093', '5164', '5210', '5228', '5605', '5268', '5270', '5700', '5302', '5351', '5435', '5435', '5467', '5467', '5471', '5486', '5511', '5511', '5511', '5553', '5563', '5564', '5564', '5564', '5647', '5675', '5676', '5696', '5749', '5795', '5843', '5920', '5990', '6031', '6036', '6066', '6080']"
,,,,,
1.02,F,SI1,Ideal,[],"['4824', '5390', '5482', '5792', '5574', '5584', '5697', '5924', '6013', '6078', '6171']"
,,,,,
1.1,E,SI2,Ideal,[],['4840']
,,,,,
1.09,D,SI2,Ideal,[],"['4842', '5613', '5685', '6029']"
,,,,,
1.03,D,SI2,Ideal,[],"['4871', '6040']"
,,,,,
1.02,G,SI1,Ideal,[],"['4897', '8340', '5331', '5340', '5357', '5487', '5529', '5569', '5596', '5725', '5788', '5810', '5850', '5897', '6185']"
,,,,,
1.01,D,SI1,Ideal,[],"['4899', '4959', '4959', '4959', '5060', '5070', '5604', '5078', '5215', '5215', '5278', '5330', '5405', '5489', '5527', '5566', '5620', '5752', '5757', '5900', '5900', '5951', '5993', '6026', '6687', '6149']"
,,,,,
1.05,E,SI2,Ideal,[],"['4899', '5051', '5263', '5837']"
,,,,,
1.06,F,SI2,Ideal,[],['4900']
,,,,,
1.02,D,SI2,Ideal,[],"['4918', '5102', '5182', '5649', '6120', '5865', '6180', '5980', '5983']"
,,,,,
1.01,G,SI1,Ideal,[],"['4927', '5019', '5099', '5175', '5188', '5195', '5317', '5338', '6089', '5363', '5363', '5368', '5368', '5434', '5461', '5515', '5538', '5542', '6331', '5542', '5544', '5545', '5566', '5602', '5627', '5638', '5677', '5793', '5793', '5821', '5839', '6436', '5840', '5843', '5870', '5875', '5877', '5913', '5933', '5959', '6041', '6482', '6074', '6103', '6124', '6145', '6186', '6198']"
,,,,,
1.06,D,SI2,Ideal,[],"['4930', '5393', '6054']"
,,,,,
1.07,F,SI2,Very Good,[],['4941']
,,,,,
1.01,F,SI1,Very Good,[],"['4978', '5160', '5185', '5250', '5263', '5407', '5520', '6499', '5609', '5698', '6097']"
,,,,,
1.02,E,SI1,Ideal,[],"['5018', '5394', '5586', '5709', '5953', '5995', '6061']"
,,,,,
1.05,F,SI2,Ideal,[],"['5035', '5274', '5885']"
,,,,,
1.11,F,SI2,Ideal,[],"['5039', '5768', '5860']"
,,,,,
